	nombre	descriptivo	principal
0	VACIO	1.0	1.0
1	sucesion_ab_intestato	1.0	0.0
2	abandono_de_domicilio	1.0	0.0
3	abandono_de_familia	1.0	1.0
4	abogado_de_oficio	1.0	0.0
5	interrupcion_del_embarazo	1.0	0.0
6	abuso_de_autoridad	1.0	0.0
7	abuso_de_derecho	1.0	1.0
8	asociacion_de_clubes_de_baloncesto	1.0	0.0
9	accesion_inversa	1.0	0.0
10	accidente_de_trafico	1.0	1.0
11	accion_de_cesacion	1.0	1.0
12	accion_de_division	1.0	1.0
13	accion_pauliana	1.0	1.0
14	accion_retractativa	1.0	0.0
15	accion_subrogatoria	1.0	1.0
16	aceptacion_de_herencia	1.0	1.0
17	acnur	0.0	0.0
18	acta_de_deposito	1.0	0.0
19	acta_de_notoriedad	1.0	0.0
20	acta_notarial_de_presencia	1.0	0.0
21	acta_de_protocolizacion	1.0	0.0
22	acta_de_referencia	1.0	0.0
23	acta_de_subasta	1.0	0.0
24	acta_notarial	1.0	0.0
25	accion_de_division_de_la_cosa_comun	1.0	1.0
26	acto_administrativo	1.0	0.0
27	acto_de_tramite	1.0	0.0
28	acto_preparatorio	1.0	0.0
29	doctrina_de_los_actos_propios	1.0	1.0
30	acumulacion_de_condenas	1.0	1.0
31	administracion_concursal	1.0	1.0
32	administracion_desleal	1.0	1.0
33	administracion_judicial	1.0	0.0
34	administrador_de_hecho	1.0	1.0
35	administrador_social	1.0	0.0
36	adopcion_simple	1.0	0.0
37	aeat	0.0	0.0
38	compañia_aerea	1.0	0.0
39	agente_judicial	1.0	0.0
40	agrupacion_de_interes_economico	1.0	1.0
41	actos_juridicos_documentados	1.0	1.0
42	ajuar_domestico	1.0	1.0
43	alcoholimetro	1.0	0.0
44	doctrina_aliud_pro_alio	1.0	0.0
45	allanamiento_de_morada	1.0	1.0
46	contrato_de_arrendamiento	1.0	1.0
47	alterum_non_laedere	1.0	0.0
48	alto_cargo	1.0	0.0
49	animales_peligrosos	1.0	0.0
50	agencia_española_de_proteccion_de_datos	0.0	0.0
51	agencia_de_la_propiedad_inmobiliaria	1.0	0.0
52	apoderamiento_ante_el_secretario_judicial	1.0	0.0
53	contrato_de_arrendamiento_de_servicios	1.0	1.0
54	entidad_aseguradora	1.0	0.0
55	inscripcion_registral	1.0	1.0
56	asociacion_de_vecinos	1.0	0.0
57	asociacion_empresarial	1.0	0.0
58	asuntos_particulares	1.0	0.0
59	atribucion_de_renta	1.0	0.0
60	agrupacion_de_interes_urbanistico	1.0	0.0
61	ampliacion_de_capital	1.0	1.0
62	ganancia_patrimonial	1.0	1.0
63	ausencia_de_dolo	1.0	1.0
64	falta_de_informacion	1.0	1.0
65	ausencia_de_notificacion	1.0	1.0
66	autobus	1.0	0.0
67	autoconsumo	1.0	1.0
68	autor_material	1.0	0.0
69	aval_a_primera_solicitud	1.0	1.0
70	ayuda_a_domicilio	1.0	0.0
71	baja_por_maternidad	1.0	0.0
72	bases_del_concurso	1.0	0.0
73	bienes_gananciales	1.0	1.0
74	bien_de_dominio_publico	1.0	0.0
75	bolsa_de_valores	1.0	0.0
76	embriaguez	1.0	1.0
77	camara_de_comercio	1.0	0.0
78	cancelacion_de_la_hipoteca	1.0	1.0
79	cantidad_liquida	1.0	0.0
80	capacidad_procesal	1.0	0.0
81	carga_del_vendedor	1.0	0.0
82	cargo_de_confianza	1.0	0.0
83	permiso_de_conducir	1.0	0.0
84	carta_de_patrocinio	1.0	0.0
85	cash_flow	1.0	0.0
86	caudal_hereditario	1.0	1.0
87	causa_de_necesidad	1.0	0.0
88	causa_ilicita	1.0	0.0
89	comisiones_obreras	0.0	0.0
90	cementerio	1.0	0.0
91	certificacion_de_obra	1.0	0.0
92	cesion_de_credito	1.0	1.0
93	cesion_de_negocio	1.0	0.0
94	consejo_general_de_poder_judicial	0.0	0.0
95	cheque_al_portador	1.0	0.0
96	cheque_bancario	1.0	0.0
97	cheque_conformado	1.0	0.0
98	cheque_sin_fondos	1.0	0.0
99	cierre_registral	1.0	1.0
100	carriage_paid_to	1.0	0.0
101	cost_and_freight	1.0	0.0
102	cost_insurance_freight	1.0	0.0
103	carriage_and_insurance_paid	1.0	0.0
104	delivered_at_frontier	1.0	0.0
105	delivered_duty_paid	1.0	0.0
106	free_carrier	1.0	0.0
107	clausula_resolutoria	1.0	1.0
108	clausula_abusiva	1.0	1.0
109	comision_del_mercado_de_telecomunicaciones	0.0	0.0
110	comision_nacional_del_mercado_de_valores	0.0	0.0
111	automovil	1.0	0.0
112	coeficiente_reductor	1.0	0.0
113	comercio_minorista	1.0	0.0
114	comision_por_omision	1.0	1.0
115	comodato	1.0	1.0
116	compensacion_de_deudas	1.0	1.0
117	competencia_judicial	1.0	0.0
118	comunidad_de_propietarios	1.0	0.0
119	comunidad_de_herederos	1.0	1.0
120	concesion	1.0	0.0
121	concejal	1.0	0.0
122	consignacion_judicial	1.0	0.0
123	conspiracion	1.0	0.0
