	a	RELACIONADO	b
0	alimentacion_forzosa	RELACIONADO	huelga_de_hambre
1	alimentacion_forzosa	RELACIONADO	empleo_de_la_fuerza
2	alimento_enriquecido	RELACIONADO	industria_alimentaria
3	alimento_enriquecido	RELACIONADO	alimentacion
4	alimento_nocivo	RELACIONADO	alimentacion
5	alimento_nocivo	RELACIONADO	alimento_adulterado
6	alimento_nocivo	RELACIONADO	sustancias_peligrosas_para_la_salud
7	alimento_nocivo	RELACIONADO	efecto_nocivo
8	alimento_seguro	RELACIONADO	alimentacion
9	alimento_seguro	RELACIONADO	alimento_nocivo
10	alimento_seguro	RELACIONADO	alimento_apto_para_el_consumo_humano
11	alimento_seguro	RELACIONADO	apto_para_el_consumo_humano
12	sensacion_de_hambre	RELACIONADO	huelga_de_hambre
13	alimentos_de_concursado	RELACIONADO	procedimiento_concursal
14	derechos_del_concursado	RELACIONADO	alimentos_de_concursado
15	derechos_del_concursado	RELACIONADO	procedimiento_concursal
16	alimentos_provisionales	RELACIONADO	alimentos_entre_parientes
17	alimentos_provisionales	RELACIONADO	alimentos_debidos_al_conyuge
18	reclamacion_de_alimentos_en_el_extranjero	RELACIONADO	obtencion_de_alimentos_en_el_extranjero
19	reclamacion_de_alimentos_en_el_extranjero	RELACIONADO	reclamacion_de_alimentos
20	allanamiento_con_intimidacion	RELACIONADO	intimidacion
21	allanamiento_con_violencia	RELACIONADO	acto_de_violencia
22	allanamiento_con_violencia	RELACIONADO	violencia_fisica
23	obtencion_de_alimentos_en_el_extranjero	RELACIONADO	reclamacion_de_alimentos
24	almacen_de_residuos_radiactivos	RELACIONADO	zona_de_radiacion
25	material_radiactivo	RELACIONADO	almacen_de_residuos_radiactivos
26	material_radiactivo	RELACIONADO	zona_de_radiacion
27	almacen_temporal_centralizado	RELACIONADO	almacen_de_deposito_temporal
28	almacen_temporal_centralizado	RELACIONADO	actividad_nuclear
29	almacen_temporal_centralizado	RELACIONADO	residuos_radiactivos
30	alta_hospitalaria	RELACIONADO	hospitalizacion
31	alta_hospitalaria	RELACIONADO	informe_de_alta_hospitalaria
32	cesion_de_programas_informaticos	RELACIONADO	programa_informatico
33	cesion_de_programas_informaticos	RELACIONADO	acceso_al_programa_informatico
34	tramite_simplificado	RELACIONADO	acto_de_tramite
35	garantia_provisional	RELACIONADO	adjudicacion_de_contrato
36	garantia_provisional	RELACIONADO	examen_de_ofertas
37	servicio_de_aprovisionamiento	RELACIONADO	provision
38	concurso_medial_con_un_delito_de_estafa	RELACIONADO	concurso_de_delitos
39	concurso_medial_con_un_delito_de_estafa	RELACIONADO	delito_de_estafa
40	sucesion_ab_intestato	RELACIONADO	acto_testamentario
41	sucesion_ab_intestato	RELACIONADO	heredero_testamentario
42	apertura_de_sucesion_intestada	RELACIONADO	acto_testamentario
43	apertura_de_sucesion_intestada	RELACIONADO	sucesion_ab_intestato
44	apertura_de_sucesion_intestada	RELACIONADO	declaracion_de_herederos_abintestato
45	abandono_de_domicilio	RELACIONADO	concepto_de_domicilio_conyugal
46	abandono_de_domicilio	RELACIONADO	delito_de_abandono_de_domicilio
47	abandono_de_familia	RELACIONADO	delito_de_abandono_de_domicilio
48	abandono_de_familia_por_impago_de_pensiones	RELACIONADO	delito_de_abandono_de_familia_por_impago_de_alimentos
49	abandono_de_familia_por_impago_de_pensiones	RELACIONADO	denuncia_por_impago_de_pensiones
50	abandono_de_familia_por_impago_de_pensiones	RELACIONADO	abono_de_la_pension_alimenticia
51	abogado_de_oficio	RELACIONADO	comparecencia_con_abogado
52	abogado_de_oficio	RELACIONADO	defensa_letrada
53	amenaza_de_aborto	RELACIONADO	interrupcion_del_embarazo
54	amenaza_de_aborto	RELACIONADO	perdida_del_feto
55	interrupcion_del_embarazo	RELACIONADO	aborto_embriopatico
56	interrupcion_del_embarazo	RELACIONADO	estado_de_embarazo
57	abuso_de_autoridad	RELACIONADO	abuso_de_posicion_dominante
58	abuso_de_autoridad	RELACIONADO	abuso_de_facultades_de_mando
59	abuso_de_derecho	RELACIONADO	abuso_de_atribuciones
60	abuso_de_derecho	RELACIONADO	abuso_de_posicion_dominante
61	abuso_de_derecho	RELACIONADO	abuso_de_facultades
62	accesion_inversa	RELACIONADO	adquisicion_del_dominio
63	accesion_inversa	RELACIONADO	atribucion_del_derecho_de_propiedad
64	accesion_inversa	RELACIONADO	accesion_de_buena_fe
65	accidente_de_trafico	RELACIONADO	circulacion_de_vehiculos
66	accion_de_cesacion	RELACIONADO	accion_colectiva_de_cesacion
67	accion_de_cesacion	RELACIONADO	acumulacion_de_acciones
